Formal Name	District	Chamber	First Name	Surname	Party	DC Office	DC Voice	District Voice	Electronic Correspondence	Web
Austin Scott (R-08)	GA08	Representative	Austin	Scott	Republican	2417 Rayburn House Office Building	202-225-6531	229-396-5175	https://austinscott.house.gov/email-me	http://austinscott.house.gov/
Doug Collins (R-09)	GA09	Representative	Doug	Collins	Republican	513 Cannon House Office Building	202-225-9893	770-297-3388	https://dougcollins.house.gov/email-me	http://dougcollins.house.gov/
Jody Hice (R-10)	GA10	Representative	Jody	Hice	Republican	2437 Rayburn House Office Building	202-225-4101	770-207-1776	https://hice.house.gov/contact/email	https://hice.house.gov/
Barry Loudermilk (R-11)	GA11	Representative	Barry	Loudermilk	Republican	442 Cannon House Office Building	202-225-2931	770-429-1776	https://loudermilk.house.gov/contact/email	https://loudermilk.house.gov/
Rick W. Allen (R-12)	GA12	Representative	Rick	Allen	Republican	513 Cannon House Office Building	202-225-2823	N/A	https://allen.house.gov/contact/email	https://allen.house.gov/
David Scott (D-13)	GA13	Representative	David	Scott	Democrat	225 Cannon House Office Building	202-225-2939	770-432-5405	https://writerep.house.gov/writerep/welcome.shtml	http://davidscott.house.gov/
Tom Graves (R-14)	GA14	Representative	Tom	Graves	Republican	432 Cannon House Office Building	202-225-5211	706-290-1776	http://tomgraves.house.gov/contact/	http://tomgraves.house.gov/
Del. Madeleine Bordallo (D)	GU00	Delegate	Madeleine	Bordallo	Democrat	2441 Rayburn House Office Building	202-225-1188	671-477-4272	https://bordallo.house.gov/contact-me/email-me	http://bordallo.house.gov/
Sen. Brian Schatz (D)	HISR	Senator	Brian	Schatz	Democrat	722 Hart Senate Office Building	202-224-3934	808-523-2061	http://www.schatz.senate.gov/contact	http://www.schatz.senate.gov
Sen. Mazie Hirono (D)	HIJR	Senator	Mazie	Hirono	Democrat	330 Hart Senate Office Building	202-224-6361	808-522-8970	http://www.hirono.senate.gov/contact/email	http://www.hirono.senate.gov/
Mark Takai (D-01)	HI01	Representative	Mark	Takai	Democrat	422 Cannon House Office Building	202-225-2726	808-541-2570	https://takai.house.gov/contact	https://takai.house.gov/
Tulsi Gabbard (D-02)	HI02	Representative	Tulsi	Gabbard	Democrat	502 Cannon House Office Building	202-225-4906	N/A	https://forms.house.gov/formsgabbard/webforms/email-me.shtml	http://gabbard.house.gov/
Sen. Chuck Grassley (R)	IASR	Senator	Chuck	Grassley	Republican	135 Hart Senate Office Building	202-224-3744	712-322-7103	http://www.grassley.senate.gov/constituents/questions-and-comments	http://www.grassley.senate.gov/
Sen. Joni Ernst (R)	IAJR	Senator	Joni	Ernst	Republican	825 Hart Senate Office Building	202-224-3254	515-284-4574	N/A	N/A
Rod Blum (R-01)	IA01	Representative	Rod	Blum	Republican	213 Cannon House Office Building	202-225-2911	563-557-7789	https://blum.house.gov/contact/email	https://blum.house.gov/
Dave Loebsack (D-02)	IA02	Representative	Dave	Loebsack	Democrat	1527 Longworth House Office Building	202-225-6576	319-351-0789	https://loebsack.house.gov/forms/writeyourrep/	http://loebsack.house.gov/
David Young (R-03)	IA03	Representative	David	Young	Republican	515 Cannon House Office Building	202-225-5476	641-782-2495	https://davidyoung.house.gov/contact/email	https://davidyoung.house.gov/
Steve King (R-04)	IA04	Representative	Steve	King	Republican	2210 Rayburn House Office Building	202-225-4426	712-580-7754	http://steveking.house.gov/contact	http://steveking.house.gov/
Sen. Mike Crapo (R)	IDSR	Senator	Mike	Crapo	Republican	239 Dirksen Senate Office Building	202-224-6142	208-334-1776	http://www.crapo.senate.gov/contact/email.cfm	http://www.crapo.senate.gov/
Sen. James E. Risch (R)	IDJR	Senator	James	Risch	Republican	483 Russell Senate Office Building	202-224-2752	208-523-5541	http://www.risch.senate.gov/public/index.cfm/email	http://www.risch.senate.gov/public/
Raul Labrador (R-01)	ID01	Representative	Raul	Labrador	Republican	1523 Longworth House Office Building	202-225-6611	208-888-3188	https://labradorforms.house.gov/index.cfm?sectionid=58&sectiontree=358	http://labrador.house.gov
Mike Simpson (R-02)	ID02	Representative	Mike	Simpson	Republican	2312 Rayburn House Office Building	202-225-5531	208-523-6701	http://simpson.house.gov/contact/	http://simpson.house.gov/
Sen. Dick Durbin (D)	ILSR	Senator	Dick	Durbin	Democrat	711 Hart Senate Office Building	202-224-2152	217-492-4062	http://www.durbin.senate.gov/public/index.cfm/contact	http://www.durbin.senate.gov/public/
Sen. Mark Kirk (R)	ILJR	Senator	Mark	Kirk	Republican	524 Hart Senate Office Building	202-224-2854	312-886-3506	http://www.kirk.senate.gov/?p=comment_on_legislation	http://www.kirk.senate.gov/index.cfm
Bobby L. Rush (D-01)	IL01	Representative	Bobby	Rush	Democrat	2188 Rayburn House Office Building	202-225-4372	708-385-9550	https://rush.house.gov/contact/email-me	http://rush.house.gov/
Robin Kelly (D-02)	IL02	Representative	Robin	Kelly	Democrat	2419 Rayburn House Office Building	202-225-0773	708-679-0078	https://robinkelly.house.gov/contact/email-me	http://robinkelly.house.gov/
Dan Lipinski (D-03)	IL03	Representative	Dan	Lipinski	Democrat	1717 Longworth House Office Building	202-225-5701	708-424-0853	https://lipinskiforms.house.gov/contact-form	http://lipinski.house.gov/
Luis V. Gutierrez (D-04)	IL04	Representative	Luis	Gutierrez	Democrat	2408 Rayburn House Office Building	202-225-8203	708-652-5180	http://gutierrezforms.house.gov/contact/	http://gutierrez.house.gov/
Mike Quigley (D-05)	IL05	Representative	Mike	Quigley	Democrat	2458 Rayburn House Office Building	202-225-4061	773-267-5926	https://quigleyforms.house.gov/forms/writeyourrep/	http://quigley.house.gov/
Peter Roskam (R-06)	IL06	Representative	Peter	Roskam	Republican	2246 Rayburn House Office Building	202-225-4561	630-232-0006	https://roskam.house.gov/contact/email-me	http://roskam.house.gov/
Danny K. Davis (D-07)	IL07	Representative	Danny	Davis	Democrat	2159 Rayburn House Office Building	202-225-5006	773-533-7520	https://davis.house.gov/email-me	http://www.davis.house.gov/
Tammy Duckworth (D-08)	IL08	Representative	Tammy	Duckworth	Democrat	104 Cannon House Office Building	202-225-3711	N/A	https://duckworth.house.gov/contact/email-me	http://duckworth.house.gov/
Janice Schakowsky (D-09)	IL09	Representative	Janice	Schakowsky	Democrat	2367 Rayburn House Office Building	202-225-2111	773-506-7100	https://forms.house.gov/schakowsky/webforms/issue_subscribe.htm	http://schakowsky.house.gov/
Bob Dold (R-10)	IL10	Representative	Bob	Dold	Republican	221 Cannon House Office Building	202-225-4835	N/A	https://dold.house.gov/contact/email	https://dold.house.gov/
Bill Foster (D-11)	IL11	Representative	Bill	Foster	Democrat	2113 Rayburn House Office Building	202-225-3515	630-585-7672	https://foster.house.gov/contact/email-me	http://foster.house.gov/
Mike Bost (R-12)	IL12	Representative	Mike	Bost	Republican	1440 Longworth House Office Building	202-225-5661	618-233-8026	https://bost.house.gov/contact/email	https://bost.house.gov/
Rodney Davis (R-13)	IL13	Representative	Rodney	Davis	Republican	1740 Longworth House Office Building	202-225-2371	217-403-4690	https://rodneydavisforms.house.gov/contact/	http://rodneydavis.house.gov/
Randy Hultgren (R-14)	IL14	Representative	Randy	Hultgren	Republican	332 Cannon House Office Building	202-225-2976	630-232-7104	https://hultgren.house.gov/contact/email-randy	http://hultgren.house.gov/
John Shimkus (R-15)	IL15	Representative	John	Shimkus	Republican	2217 Rayburn House Office Building	202-225-5271	618-252-8271	https://shimkus.house.gov/contact/email-me	http://shimkus.house.gov/
Adam Kinzinger (R-16)	IL16	Representative	Adam	Kinzinger	Republican	1221 Longworth House Office Building	202-225-3635	815-726-4998	http://kinzinger.house.gov/contact/	http://kinzinger.house.gov/
Cheri Bustos (D-17)	IL17	Representative	Cheri	Bustos	Democrat	1009 Longworth House Office Building	202-225-5905	309-786-3406	http://bustos.house.gov/contact	http://bustos.house.gov/
Aaron Schock (R-18)	IL18	Representative	Aaron	Schock	Republican	2464 Rayburn House Office Building	202-225-6201	217-245-1431	http://schock.house.gov/contact/	http://schock.house.gov/
Sen. Dan Coats (R)	INSR	Senator	Dan	Coats	Republican	493 Russell Senate Office Building	202-224-5623	317-554-0750	http://www.coats.senate.gov/contact/	http://www.coats.senate.gov/
Sen. Joe Donnelly (D)	INJR	Senator	Joe	Donnelly	Democrat	720 Hart Senate Office Building	202-224-4814	317-226-5555	http://www.donnelly.senate.gov/contact/email-joe	http://www.donnelly.senate.gov
Peter J. Visclosky (D-01)	IN01	Representative	Peter	Visclosky	Democrat	2328 Rayburn House Office Building	202-225-2461	219-795-1844	http://visclosky.house.gov/contact-pete/email-pete	http://visclosky.house.gov/
Jackie Walorski (R-02)	IN02	Representative	Jackie	Walorski	Republican	419 Cannon House Office Building	202-225-3915	574-204-2645	https://walorski.house.gov/contact/email-me	http://walorski.house.gov/
Marlin Stutzman (R-03)	IN03	Representative	Marlin	Stutzman	Republican	2418 Rayburn House Office Building	202-225-4436	260-424-3041	http://stutzman.house.gov/contacts/new	http://stutzman.house.gov/
Todd Rokita (R-04)	IN04	Representative	Todd	Rokita	Republican	1717 Longworth House Office Building	202-225-5037	317-718-0404	https://rokita.house.gov/contact-me/email-me	http://rokita.house.gov/
Susan W. Brooks (R-05)	IN05	Representative	Susan	Brooks	Republican	1505 Longworth House Office Building	202-225-2276	317-848-0201	http://susanwbrooks.house.gov/contact	http://susanwbrooks.house.gov/
Luke Messer (R-06)	IN06	Representative	Luke	Messer	Republican	508 Cannon House Office Building	202-225-3021	765-747-5566	https://messer.house.gov/contact/email-me	http://messer.house.gov/
Andre Carson (D-07)	IN07	Representative	Andre	Carson	Democrat	2453 Rayburn House Office Building	202-225-4011	317-283-6516	https://carson.house.gov/contact/email-me	http://carson.house.gov/
Larry Bucshon (R-08)	IN08	Representative	Larry	Bucshon	Republican	1005 Longworth House Office Building	202-225-4636	812-465-6484	https://bucshon.house.gov/contact-me/email-me	http://bucshon.house.gov/
Todd Young (R-09)	IN09	Representative	Todd	Young	Republican	1007 Longworth House Office Building	202-225-5315	812-336-3000	https://toddyoungforms.house.gov/index.cfm?sectionid=114&sectiontree=3114	http://toddyoung.house.gov/
Sen. Pat Roberts (R)	KSSR	Senator	Pat	Roberts	Republican	109 Hart Senate Office Building	202-224-4774	620-227-2244	http://www.roberts.senate.gov/public/index.cfm?p=EmailPat	http://www.roberts.senate.gov/public/index.cfm?p=Home
Sen. Jerry Moran (R)	KSJR	Senator	Jerry	Moran	Republican	361A Russell Senate Office Building	202-224-6521	913-393-0711	http://www.moran.senate.gov/public/index.cfm/e-mail-jerry	http://www.moran.senate.gov/public/
Tim Huelskamp (R-01)	KS01	Representative	Tim	Huelskamp	Republican	129 Cannon House Office Building	202-225-2715	785-309-0572	https://huelskamp.house.gov/contact/email-me	http://huelskamp.house.gov/
Lynn Jenkins (R-02)	KS02	Representative	Lynn	Jenkins	Republican	1027 Longworth House Office Building	202-225-6601	620-231-5966	https://lynnjenkins.house.gov/contact-me	http://lynnjenkins.house.gov/index.html
Kevin Yoder (R-03)	KS03	Representative	Kevin	Yoder	Republican	215 Cannon House Office Building	202-225-2865	913-621-0832	https://yoder.house.gov/contact/email-me	http://yoder.house.gov/
Mike Pompeo (R-04)	KS04	Representative	Mike	Pompeo	Republican	107 Cannon House Office Building	202-225-6216	316-262-8992	http://pompeo.house.gov/contact/	http://pompeo.house.gov/
Sen. Mitch McConnell (R)	KYSR	Senator	Mitch	McConnell	Republican	317 Russell Senate Office Building	202-224-2541	606-864-2026	http://www.mcconnell.senate.gov/public/index.cfm?p=ContactForm	http://www.mcconnell.senate.gov/public/
Sen. Rand Paul (R)	KYJR	Senator	Rand	Paul	Republican	124 Russell Senate Office Building	202-224-4343	270-782-8303	http://www.paul.senate.gov/?p=contact	http://www.paul.senate.gov/?p=home
Ed Whitfield (R-01)	KY01	Representative	Ed	Whitfield	Republican	2184 Rayburn House Office Building	202-225-3115	270-442-6901	https://whitfield.house.gov/contact/email-me	http://whitfield.house.gov/
Brett Guthrie (R-02)	KY02	Representative	Brett	Guthrie	Republican	308 Cannon House Office Building	202-225-3501	N/A	http://brettguthrieforms.house.gov/contact/	http://guthrie.house.gov/index.html
John Yarmuth (D-03)	KY03	Representative	John	Yarmuth	Democrat	403 Cannon House Office Building	202-225-5401	502-582-5129	http://yarmuth.house.gov/index.cfm?sectionid=124&sectiontree=124	http://yarmuth.house.gov/index.html
Thomas Massie (R-04)	KY04	Representative	Thomas	Massie	Republican	314 Cannon House Office Building	202-225-3465	606-324-9898	http://massieforms.house.gov/contact/	http://massie.house.gov/
Hal Rogers (R-05)	KY05	Representative	Hal	Rogers	Republican	2406 Rayburn House Office Building	202-225-4601	606-439-0794	https://halrogers.house.gov/contact/contactform.htm	http://halrogers.house.gov/
Andy Barr (R-06)	KY06	Representative	Andy	Barr	Republican	1432 Longworth House Office Building	202-225-4706	859-219-1366	https://barr.house.gov/contact/email-me	http://barr.house.gov/
Sen. David Vitter (R)	LASR	Senator	David	Vitter	Republican	516 Hart Senate Office Building	202-224-5824		http://www.vitter.senate.gov/contact/email-senator-vitter	http://www.vitter.senate.gov/
Sen. Bill Cassidy (R)	LAJR	Senator	Bill	Cassidy	Republican	703 Hart Senate Office Building	202-224-4623	225-929-7711	N/A	N/A
Steve Scalise (R-01)	LA01	Representative	Steve	Scalise	Republican	2338 Rayburn House Office Building	202-225-3015	985-893-9064	https://scaliseforms.house.gov/contact/	http://scalise.house.gov/
Cedric Richmond (D-02)	LA02	Representative	Cedric	Richmond	Democrat	240 Cannon House Office Building	202-225-6636	504-365-0390	https://richmond.house.gov/contact-me/email-me	http://richmond.house.gov/
Charles W. Boustany, Jr. (R-03)	LA03	Representative	Charles	Boustany	Republican	1431 Longworth House Office Building	202-225-2031	337-433-1747	https://boustanyforms.house.gov/contact-me	http://boustany.house.gov/index.html
John Fleming (R-04)	LA04	Representative	John	Fleming	Republican	416 Cannon House Office Building	202-225-2777	318-549-1712	https://fleming.house.gov/forms/writeyourrep/	http://fleming.house.gov/
Ralph Abraham (R-05)	LA05	Representative	Ralph	Abraham	Republican	417 Cannon House Office Building	202-225-8490	N/A	https://abraham.house.gov/contact/email	https://abraham.house.gov/
Garret Graves (R-06)	LA06	Representative	Garret	Graves	Republican	1131 Longworth House Office Building	202-225-3901	N/A	https://garretgraves.house.gov/contact/email	https://garretgraves.house.gov/
Sen. Elizabeth Warren (D)	MASR	Senator	Elizabeth	Warren	Democrat	317 Hart Senate Office Building	202-224-4543	617-565-3170	http://www.warren.senate.gov/?p=email_senator	http://www.warren.senate.gov/
Sen. Ed Markey (D)	MAJR	Senator	Ed	Markey	Democrat	218 Russell Senate Office Building	202-224-2742	617-565-8519	http://www.markey.senate.gov/contact	http://www.markey.senate.gov/
Richard E. Neal (D-01)	MA01	Representative	Richard	Neal	Democrat	341 Cannon House Office Building	202-225-5601	413-785-0325	https://forms.house.gov/neal/webforms/Contact_Form.shtml	http://neal.house.gov/
Jim McGovern (D-02)	MA02	Representative	Jim	McGovern	Democrat	438 Cannon House Office Building	202-225-6101	413-584-8700	http://mcgovern.house.gov/contact/email-me	http://mcgovern.house.gov/
Niki Tsongas (D-03)	MA03	Representative	Niki	Tsongas	Democrat	1607 Longworth House Office Building	202-225-3411	978-459-0101	https://tsongasforms.house.gov/index.cfm?sectionid=117&sectiontree=116117	http://tsongas.house.gov/index.html
Joseph P. Kennedy, III (D-04)	MA04	Representative	Joseph	Kennedy	Democrat	1218 Longworth House Office Building	202-225-5931	508-431-1110	https://kennedy.house.gov/contact/email-me	http://kennedy.house.gov/
Katherine Clark (D-05)	MA05	Representative	Katherine	Clark	Democrat	1721 Longworth House Office Building	202-225-2836	781-396-2900	https://katherineclark.house.gov/index.cfm/email-me	http://katherineclark.house.gov/
Seth Moulton (D-06)	MA06	Representative	Seth	Moulton	Democrat	2238 Rayburn House Office Building	202-225-8020	978-531-1669	https://moulton.house.gov/contact/email	https://moulton.house.gov/
Michael E. Capuano (D-07)	MA07	Representative	Michael	Capuano	Democrat	1414 Longworth House Office Building	202-225-5111	617-621-6208	http://capuano.house.gov/contact/email.shtml	http://www.house.gov/capuano/
Stephen F. Lynch (D-08)	MA08	Representative	Stephen	Lynch	Democrat	2133 Rayburn House Office Building	202-225-8273	617-428-2000	https://lynch.house.gov/contact-me/email-me	http://lynch.house.gov/
William Keating (D-09)	MA09	Representative	William	Keating	Democrat	315 Cannon House Office Building	202-225-3111	508-771-0666	https://forms.house.gov/keating/webforms/contact.shtml	http://keating.house.gov/
Sen. Barbara Mikulski (D)	MDSR	Senator	Barbara	Mikulski	Democrat	503 Hart Senate Office Building	202-224-4654	410-546-7711	http://www.mikulski.senate.gov/contact	http://www.mikulski.senate.gov/
Sen. Benjamin L. Cardin (D)	MDJR	Senator	Benjamin	Cardin	Democrat	509 Hart Senate Office Building	202-224-4524	410-962-4436	http://www.cardin.senate.gov/contact/	http://www.cardin.senate.gov/
Andy Harris (R-01)	MD01	Representative	Andy	Harris	Republican	1533 Longworth House Office Building	202-225-5311	410-588-5670	https://harris.house.gov/contact-me/email-me	http://harris.house.gov/
C. A. Dutch Ruppersberger (D-02)	MD02	Representative	C. A. Dutch	Ruppersberger	Democrat	2416 Rayburn House Office Building	202-225-3061	410-628-2701	http://ruppersberger.house.gov/contact-dutch/email-dutch	http://ruppersberger.house.gov/
John Sarbanes (D-03)	MD03	Representative	John	Sarbanes	Democrat	2444 Rayburn House Office Building	202-225-4016	410-832-8890	https://sarbanes.house.gov/contact/email-me-bills	http://sarbanes.house.gov/
Donna F. Edwards (D-04)	MD04	Representative	Donna	Edwards	Democrat	2445 Rayburn House Office Building	202-225-8699	301-516-7601	https://forms.house.gov/formdonnaedwards/issue_subscribe.shtml	http://donnaedwards.house.gov/
Steny Hoyer (D-05)	MD05	Representative	Steny	Hoyer	Democrat	1705 Longworth House Office Building	202-225-4016	410-295-1679	https://hoyer.house.gov/email-steny	http://hoyer.house.gov/
John Delaney (D-06)	MD06	Representative	John	Delaney	Democrat	1632 Longworth House Office Building	202-225-2721	301-926-0300	https://delaney.house.gov/contact/email-me	http://delaney.house.gov/
Elijah E. Cummings (D-07)	MD07	Representative	Elijah	Cummings	Democrat	2230 Rayburn House Office Building	202-225-4741	410-465-8259	https://cummings.house.gov/contact-me/email-me	http://cummings.house.gov/
Chris Van Hollen, Jr. (D-08)	MD08	Representative	Chris	Van Hollen	Democrat	1707 Longworth House Office Building	202-225-5341	301-424-3501	https://vanhollen.house.gov/contact/email-me	http://vanhollen.house.gov/
Sen. Susan Collins (R)	MESR	Senator	Susan	Collins	Republican	413 Dirksen Senate Office Building	202-224-2523	207-945-0417	http://www.collins.senate.gov/public/index.cfm/email	http://www.collins.senate.gov/public/index.cfm/
Sen. Angus King (I)	MEJR	Senator	Angus	King	Independent	359 Dirksen Senate Office Building	202-224-5344	207-622-8292	http://www.king.senate.gov/contact	http://www.king.senate.gov/
Chellie Pingree (D-01)	ME01	Representative	Chellie	Pingree	Democrat	2162 Rayburn House Office Building	202-225-6116	207-774-5019	https://pingree.house.gov/email-me	http://pingree.house.gov/
Bruce Poliquin (R-02)	ME02	Representative	Bruce	Poliquin	Republican	426 Cannon House Office Building	202-225-6306	207-764-1968	http://poliquin.house.gov/contact/email	http://poliquin.house.gov/
Sen. Debbie Stabenow (D)	MISR	Senator	Debbie	Stabenow	Democrat	731 Hart Senate Office Building	202-224-4822		http://www.stabenow.senate.gov/?p=contact	http://www.stabenow.senate.gov/
Sen. Gary Peters (D)	MIJR	Senator	Gary	Peters	Democrat	2 Russell Senate Office Building	202-224-6221	231-947-9569	N/A	N/A
Dan Benishek (R-01)	MI01	Representative	Dan	Benishek	Republican	514 Cannon House Office Building	202-225-4735	877-376-5613	https://benishek.house.gov/contact-me/email-me	http://benishek.house.gov/
Bill Huizenga (R-02)	MI02	Representative	Bill	Huizenga	Republican	1217 Longworth House Office Building	202-225-4401	616-414-5516	http://huizenga.house.gov/contact/	http://huizenga.house.gov/
Justin Amash (R-03)	MI03	Representative	Justin	Amash	Republican	114 Cannon House Office Building	202-225-3831	616-451-8383	https://amash.house.gov/contact-me/email-me	http://amash.house.gov/
John Moolenaar (R-04)	MI04	Representative	John	Moolenaar	Republican	341 Cannon House Office Building	202-225-3561		https://moolenaar.house.gov/contact/email	https://moolenaar.house.gov/
Dan Kildee (D-05)	MI05	Representative	Dan	Kildee	Democrat	327 Cannon House Office Building	202-225-3611	810-238-8627	https://dankildee.house.gov/contact/email-me	http://dankildee.house.gov/
Fred Upton (R-06)	MI06	Representative	Fred	Upton	Republican	2183 Rayburn House Office Building	202-225-3761	269-982-1986	http://upton.house.gov/contact/zipauth.htm	http://upton.house.gov/
Tim Walberg (R-07)	MI07	Representative	Tim	Walberg	Republican	2436 Rayburn House Office Building	202-225-6276	517-780-9075	https://walberg.house.gov/contact/contactform.htm	http://walberg.house.gov/
Mike Bishop (R-08)	MI08	Representative	Mike	Bishop	Republican	428 Cannon House Office Building	202-225-4872	517-702-8000	https://mikebishop.house.gov/contact/email	https://mikebishop.house.gov/
Sandy Levin (D-09)	MI09	Representative	Sandy	Levin	Democrat	1236 Longworth House Office Building	202-225-4961	586-498-7122	https://levin.house.gov/contact-me/email-me	http://levin.house.gov/
Candice Miller (R-10)	MI10	Representative	Candice	Miller	Republican	320 Cannon House Office Building	202-225-2106	586-997-5010	https://candicemiller.house.gov/contact/email-me	http://candicemiller.house.gov/
David Trott (R-11)	MI11	Representative	David	Trott	Republican	226 Cannon House Office Building	202-225-8171	N/A	https://trott.house.gov/contact/email	https://trott.house.gov/
Debbie Dingell (D-12)	MI12	Representative	Debbie	Dingell	Democrat	116 Cannon House Office Building	202-225-4071	734-481-1100	https://debbiedingell.house.gov/contact/email	https://debbiedingell.house.gov/
John Conyers, Jr. (D-13)	MI13	Representative	John	Conyers	Democrat	2426 Rayburn House Office Building	202-225-5126	734-675-4084	http://conyers.house.gov/index.cfm?FuseAction=Contact.OnlineContactForm	http://conyers.house.gov/
Brenda Lawrence (D-14)	MI14	Representative	Brenda	Lawrence	Democrat	1609 Longworth House Office Building	202-225-5802	313-964-9960	https://lawrence.house.gov/contact/email	https://lawrence.house.gov/
Sen. Amy Klobuchar (D)	MNSR	Senator	Amy	Klobuchar	Democrat	302 Hart Senate Office Building	202-224-3244	507-288-5321	http://www.klobuchar.senate.gov/public/email-amy	http://www.klobuchar.senate.gov/
Sen. Al Franken (D)	MNJR	Senator	Al	Franken	Democrat	309 Hart Senate Office Building	202-224-5641	507-931-5813	https://www.franken.senate.gov/?p=email_al	http://www.franken.senate.gov/
Tim Walz (D-01)	MN01	Representative	Tim	Walz	Democrat	1034 Longworth House Office Building	202-225-2472	507-206-0643	http://walz.house.gov/contact/email-me	http://walz.house.gov/
John Kline (R-02)	MN02	Representative	John	Kline	Republican	2439 Rayburn House Office Building	202-225-2271	952-808-1213	http://kline.house.gov/contact/	http://kline.house.gov/
Erik Paulsen (R-03)	MN03	Representative	Erik	Paulsen	Republican	127 Cannon House Office Building	202-225-2871	952-405-8510	https://paulsenforms.house.gov/contact-me	http://paulsen.house.gov/
Betty McCollum (D-04)	MN04	Representative	Betty	McCollum	Democrat	1714 Longworth House Office Building	202-225-6631	651-224-9191	https://mccollum.house.gov/contact-me/email-me	http://mccollum.house.gov/
Keith Ellison (D-05)	MN05	Representative	Keith	Ellison	Democrat	2263 Rayburn House Office Building	202-225-4755	612-522-1212	http://ellison.house.gov/contact	http://ellison.house.gov/
Tom Emmer (R-06)	MN06	Representative	Tom	Emmer	Republican	503 Cannon House Office Building	202-225-2331	763-323-8922	http://emmer.house.gov/contact/email	http://emmer.house.gov/
Collin Peterson (D-07)	MN07	Representative	Collin	Peterson	Democrat	2204 Rayburn House Office Building	202-225-2165	320-235-1061	https://collinpeterson.house.gov/contact-me/email-me	http://collinpeterson.house.gov/
Rick Nolan (D-08)	MN08	Representative	Rick	Nolan	Democrat	2366 Rayburn House Office Building	202-225-6211	218-464-5095	https://nolan.house.gov/contact/email-me	http://nolan.house.gov/
Sen. Claire McCaskill (D)	MOSR	Senator	Claire	McCaskill	Democrat	506 Hart Senate Office Building	202-224-6154	573-442-7130	http://www.mccaskill.senate.gov/contact	http://www.mccaskill.senate.gov/
Sen. Roy Blunt (R)	MOJR	Senator	Roy	Blunt	Republican	260 Russell Senate Office Building	202-224-5721	816-471-7141	http://www.blunt.senate.gov/public/index.cfm/contact-form?p=contact-roy	http://www.blunt.senate.gov/public/
William Lacy Clay, Jr. (D-01)	MO01	Representative	William	Clay	Democrat	2428 Rayburn House Office Building	202-225-2406	314-367-1970	http://lacyclay.house.gov/contact-form/	http://lacyclay.house.gov/index.html
Ann Wagner (R-02)	MO02	Representative	Ann	Wagner	Republican	435 Cannon House Office Building	202-225-1621	636-779-5449	https://wagner.house.gov/contact/email-me	http://wagner.house.gov/
Blaine Luetkemeyer (R-03)	MO03	Representative	Blaine	Luetkemeyer	Republican	2440 Rayburn House Office Building	202-225-2956	573-635-7232	http://luetkemeyer.house.gov/contact/	http://luetkemeyer.house.gov/
Vicky Hartzler (R-04)	MO04	Representative	Vicky	Hartzler	Republican	1023 Longworth House Office Building	202-225-2876	573-442-9311	https://hartzler.house.gov/contact-me/email-me	http://hartzler.house.gov/
Emanuel Cleaver, II (D-05)	MO05	Representative	Emanuel	Cleaver	Democrat	2335 Rayburn House Office Building	202-225-4535	816-833-4545	http://cleaver.house.gov/contact/email-me	http://cleaver.house.gov/
Sam Graves (R-06)	MO06	Representative	Sam	Graves	Republican	1415 Longworth House Office Building	202-225-7041	816-792-3976	https://graves.house.gov/contact/email-me	http://graves.house.gov/
Billy Long (R-07)	MO07	Representative	Billy	Long	Republican	1541 Longworth House Office Building	202-225-6536	471-781-1041	https://longforms.house.gov/email-billy	http://long.house.gov/
Jason T. Smith (R-08)	MO08	Representative	Jason	Smith	Republican	1118 Longworth House Office Building	202-225-4404	573-364-2455	https://jasonsmith.house.gov/contact/email-me	http://jasonsmith.house.gov/
Sen. Thad Cochran (R)	MSSR	Senator	Thad	Cochran	Republican	113 Dirksen Senate Office Building	202-224-5054	228-867-9710	http://www.cochran.senate.gov/public/index.cfm/email-me	http://www.cochran.senate.gov/public/
Sen. Roger Wicker (R)	MSJR	Senator	Roger	Wicker	Republican	555 Dirksen Senate Office Building	202-224-6253	228-762-5400	http://www.wicker.senate.gov/public/index.cfm/contact	http://www.wicker.senate.gov/public/
Alan Nunnelee (R-01)	MS01	Representative	Alan	Nunnelee	Republican	1427 Longworth House Office Building	202-225-4306	662-841-8808	http://nunneleeforms.house.gov/contact/	http://nunnelee.house.gov/
Bennie Thompson (D-02)	MS02	Representative	Bennie	Thompson	Democrat	2466 Rayburn House Office Building	202-225-5876	662-335-9003	https://forms.house.gov/benniethompson/contact-form.shtml	http://benniethompson.house.gov/
Gregg Harper (R-03)	MS03	Representative	Gregg	Harper	Republican	307 Cannon House Office Building	202-225-5031	601-693-6681	http://harper.house.gov/contact-gregg/email-gregg	http://harper.house.gov/
Steven Palazzo (R-04)	MS04	Representative	Steven	Palazzo	Republican	331 Cannon House Office Building	202-225-5772	601-582-3246	http://palazzo.house.gov/contact/	http://palazzo.house.gov/
Sen. Jon Tester (D)	MTSR	Senator	Jon	Tester	Democrat	706 Hart Senate Office Building	202-224-2644	406-723-3277	http://www.tester.senate.gov/?p=email_senator	http://www.tester.senate.gov/?p=home
Sen. Steve Daines (R)	MTJR	Senator	Steve	Daines	Republican	1 Russell Senate Office Building	202-224-2651	406-365-7002	http://www.daines.senate.gov/content/contact-steve	http://www.daines.senate.gov/HomePage
Ryan Zinke (R-ALL)	MT00	Representative	Ryan	Zinke	Republican	113 Cannon House Office Building	202-225-3211		https://zinke.house.gov/contact/email	https://zinke.house.gov/
